2019-03-28T10:50:30Z	15100	jiangyuwoaini	46109921	希望自己的好运会早点来到，这几天收到的打击已经够大了	hello，world，my name is jy ，i love you
2019-03-28T10:50:26Z	15099	huhuixin	21231261	没用的, 散了吧	没用的, 散了吧
2019-03-28T10:50:26Z	15098	NRatel	36918549	不会看排名的，左上角搜索   stars:>50000   	
2019-03-28T10:50:17Z	15097	wkq361138880	4455514	谁带的头，整点有用的行么	
2019-03-28T10:50:00Z	15096	BlossomFlowers	29765236	ICU,I am comming!	ICU,I am comming!
2019-03-28T10:49:53Z	15093	zeptolee	6327633	程序员之怒，响彻群山！	雄起！
2019-03-28T10:49:52Z	15092	GandophSmida	18568907	第一次参与GitHub大项目	996打卡完毕！！
2019-03-28T10:49:49Z	15090	HuXingKuo	49024355	那些打广告的就过分了	
2019-03-28T10:49:42Z	15089	NoEndToLF	30397251	我们可以自嘲加班狗，但是你不能真把我们当狗	个人感觉这次996.icu事件的爆发还是源于某些资本家太过分了，其实有些时候为了项目进度或者上线节点我们并不是非常抵触996，毕竟实话说，有时候平时也没那么忙，该加班加点班虽然不太愿意，但是至少不是非常抵触，良心的公司还会给加班费和一些加班福利，但是有些糟老头子坏的很呀，明面上拿来当制度，薪酬福利却不跟着变化，这已经不是加班不加班的问题了，这是尊严和人格问题了，借用一句笑话里的话，一个女孩子说的，“你要说我好看，我就说我是p的，你要是说我p的，我就艹你吗”，我们可以自嘲加班狗，但是你不能真把我们当狗
2019-03-28T10:49:30Z	15088	iPaul007	30915417	拒绝996	拒绝996
2019-03-28T10:49:23Z	15087	chenGit1763113879QQ	20452996	工作机会少 压力大 不能直接转化成经济	
2019-03-28T10:49:16Z	15086	lucas1968	49024392	摸鱼技巧交流区	![image](https://user-images.githubusercontent.com/49024392/55151884-29cabd00-518a-11e9-95e7-3023ed97f2a5.png)\n
2019-03-28T10:49:08Z	15084	wwt142	12391040	如果加班有加班费,我能加到公司破产!	
2019-03-28T10:49:08Z	15083	303snowing	26240884	我就想看在座的各位 ，谁先加班加死	#  身体要紧啊  六点了啊  不要浪费水电啊
2019-03-28T10:49:06Z	15082	lailaiwei	14085471	Diss 产品经理 Diss 到死	![b700210194004a5823df527d9d15cc4](https://user-images.githubusercontent.com/14085471/55151863-1ddefb00-518a-11e9-99a0-68328461b529.jpg)\nDiss 到死
2019-03-28T10:49:03Z	15081	jianfenkezhan	6964781	fix zh_CN.md	修改中文里面的英文 , 逗号 为 中文 ， 逗号
2019-03-28T10:48:49Z	15080	XunRunQuan	20718437	下班了 ！	下班了 ！
2019-03-28T10:48:42Z	15079	redtjw	17924905	加班是一种情怀，强制加班就是摧残	
2019-03-28T10:48:35Z	15078	WillYan881118	16386486	5万+star,牛逼	蹭个热度
2019-03-28T10:48:34Z	15077	JunlinHan	48272064	996马没了	丧尽天良\n996是不是孙笑川设立的 真的是没有妈
2019-03-28T10:48:29Z	15076	HiGeee	23181952	阿里是10106 还是10126，我怕顶不住啊	阿里是10106 还是10126，我怕顶不住啊
2019-03-28T10:48:27Z	15075	wuqiao7758	43031285	sdff	00000
2019-03-28T10:48:22Z	15074	Ambitionkang	24227087	陆骏龙，赶快辞职回家，别再996了	
2019-03-28T10:48:05Z	15072	djh123	13375703	把这个bug改好，人民生活水平会提高很多	
2019-03-28T10:47:47Z	15071	hj456992	22442849	高山，我爱你	
2019-03-28T10:47:44Z	15070	FavorMylikes	16064851	Update zh_CN.md	Add **audit** news and **audit** company.
2019-03-28T10:47:43Z	15069	aLiu10	17778132	佛山小朱这周去happy吗	
2019-03-28T10:47:40Z	15068	ForveverStrong	9281286	以斗争求团结则团结存，以妥协求团结则团结亡	
2019-03-28T10:47:40Z	15067	kifu	7280429	起来起来不愿做努力的程序员	
2019-03-28T10:46:31Z	15066	shangjinyumu	30363556	中国最牛逼的程序员,宁振阳	
2019-03-28T10:46:21Z	15064	Sccw	34470287	南下2.0公会前来助攻	
2019-03-28T10:46:03Z	15063	kdzdaa	49024257	抵制996，女程序员发起抗议，取暖抱团	抵制，996女程序员，微信交流群\n![image](https://user-images.githubusercontent.com/49024257/55151659-b163fc00-5189-11e9-8113-7a093da84e04.png)\n
2019-03-28T10:45:53Z	15062	llz927	40790597	还在上班的人，默默不说话	
